,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,ml-4m,Python
50,ml-acn-embed,Python
51,ml-act,Python
52,ml-ademamix,Python
53,ml-afv,Python
54,ml-agent-evaluator,Jupyter Notebook
55,ml-agm,Python
56,ml-aim,Python
57,ml-all-pairs,Python
58,ml-ane-transformers,Python
59,ml-aspanformer,Python
60,ml-aspera,Python
61,ml-aura,Python
62,ml-autofocusformer,Python
63,ml-autofocusformer-segmentation,Python
64,ml-batchquant,Python
65,ml-behavioral-testing-for-mt,
66,ml-bilevel-train-dist,Python
67,ml-bloop,Python
68,ml-calibration,Jupyter Notebook
69,ml-capsules-inverted-attention-routing,Python
70,ml-cifar-10-faster,Python
71,ml-code-switched-speech-translation,Python
72,ml-codeswitching-translations,
73,ml-collegial-ensembles,Python
74,ml-comotion,Python
75,ml-compress-and-compare,Python
76,ml-core,Python
77,ml-covid-mobility,R
78,ml-cread,Python
79,ml-cross-entropy,Python
80,ml-cubifyanything,Python
81,ml-cvnets,Python
82,ml-cvpr2019-swd,Python
83,ml-dab,Python
84,ml-data-parameters,Python
85,ml-dataset-decomposition,Python
86,ml-delphi,
87,ml-depth-pro,Python
88,ml-destseg,Python
89,ml-diffucoder,Python
90,ml-diffusion-alignment-gflownet,Python
91,ml-direct2.5,Python
92,ml-divide-or-conquer,Python
93,ml-dms-dataset,Python
94,ml-dprecs,Jupyter Notebook
95,ml-dr,Python
96,ml-duet,Python
97,ml-egodex,Python
98,ml-encqa,Python
99,ml-entity-deduction-arena,Python
100,ml-entropy-reconstruction,Python
101,ml-envmapnet,Python
102,ml-equivariant-neural-rendering,Jupyter Notebook
103,ml-facelit,Python
104,ml-famae,Python
105,ml-fastvit,Python
106,ml-fastvlm,Python
107,ml-fct,Python
108,ml-ferret,Python
109,ml-finerecon,Python
110,ml-flair,Jupyter Notebook
111,ml-flextok,Jupyter Notebook
112,ml-gaudi,
113,ml-gbc,Python
114,ml-gendered-translation,Ruby
115,ml-gie-bench,Python
116,ml-gmpi,Python
117,ml-gsm-symbolic,
118,ml-gsn,Python
119,ml-hd-gist,Python
120,ml-heart-rate-models,Python
121,ml-hierarchical-confusion-matrix,TypeScript
122,ml-hugs,Python
123,ml-hypercloning,Python
124,ml-hypersim,Python
125,ml-icr2,Python
126,ml-inrflow,Python
127,ml-interactive-data-augmentation,Svelte
128,ml-internal-llms-instruction-following,Python
129,ml-interspeech2022-phi_rtn,
130,ml-isqoe,Python
131,ml-jointnet,Python
132,ml-key-retrieval-code-tasks,Python
133,ml-keyframer,JavaScript
134,ml-kg-mt,Python
135,ml-kge,Python
136,ml-knowledge-conflicts,Python
137,ml-kpconvx,Python
138,ml-l3m,Python
139,ml-live-pose,
140,ml-llarp,Python
141,ml-lucid-datagen,Python
142,ml-mad-bench,Jupyter Notebook
143,ml-matrix3d,Python
144,ml-mcf,Python
145,ml-mdm,Python
146,ml-mgie,Python
147,ml-mia-bench,Jupyter Notebook
148,ml-MixupMP,Python
149,ml-mkqa,Python
150,ml-mobileclip,Python
151,ml-mobileclip-dr,Python
152,ml-mobileone,Swift
153,ml-mofi,Python
154,ml-multiple-futures-prediction,Python
155,ml-mycelium,JavaScript
156,ml-ncg,Python
157,ml-negative-sampling,Python
158,ml-neilf,Python
159,ml-neilfpp,Python
160,ml-neuman,Python
161,ml-no-token-left-behind,Jupyter Notebook
162,ml-np-rasp,Python
163,ml-nvas3d,Python
164,ml-ogen,Python
165,ml-pfl4asr,Python
166,ml-pgdvs,Python
167,ml-planner,Python
168,ml-pointconvformer,Python
169,ml-pointersect,Python
170,ml-policy-projector,Python
171,ml-ppg-age-analysis,Python
172,ml-predict,Python
173,ml-primex,
174,ml-probabilistic-attention,Python
175,ml-projunit,Python
176,ml-pytod,Python
177,ml-qrecc,Python
178,ml-quant,Python
179,ml-recurrent-drafter,Python
180,ml-reed,Python
181,ml-reversal-blessing,Python
182,ml-rlgrad,Python
183,ml-robust-expert-augmentations,Python
184,ml-rpm-bench,Python
185,ml-sad,Python
186,ml-sage-dialog-gen,Python
187,ml-sampleplan,Python
